"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 20 12:18:27 GMT 2022","Fri May 20 12:19:03 GMT 2022","36272","Google Chrome","bottomLeft/playlistVideo.test.js","","","","Playlist Video",""
"passed","Fri May 20 12:21:17 GMT 2022","Fri May 20 12:21:35 GMT 2022","18341","Google Chrome","joinRoom/joinRoom.test.js","","","","Verify Join Mic-Off Cam-Off",""
"passed","Fri May 20 12:23:42 GMT 2022","Fri May 20 12:23:48 GMT 2022","6064","Google Chrome","previewPage/settingNetwork.test.js","","","","Verify Network Btn",""
"passed","Fri May 20 12:19:13 GMT 2022","Fri May 20 12:19:23 GMT 2022","10124","Google Chrome","joinRoom/inRoom.test.js","","","","Verify room URL",""
"skipped","Fri May 20 12:19:03 GMT 2022","Fri May 20 12:19:03 GMT 2022","0","Google Chrome","bottomRight/raisehandBRB.test.js","","","","Verify Raise Hand Brb icons",""
"passed","Fri May 20 12:06:49 GMT 2022","Fri May 20 12:07:04 GMT 2022","14776","Google Chrome","bottomCenter/leaveRoom.test.js","","","","Verify leave room",""
"passed","Fri May 20 12:11:01 GMT 2022","Fri May 20 12:12:29 GMT 2022","87615","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop HLS",""
"passed","Fri May 20 12:12:29 GMT 2022","Fri May 20 12:13:56 GMT 2022","87087","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop Rtmp",""
"passed","Fri May 20 12:16:57 GMT 2022","Fri May 20 12:17:08 GMT 2022","11437","Google Chrome","bottomLeft/noiseSuppVirtualBG.test.js","","","","Verify noise supp and virtual bg visibility",""
"skipped","Fri May 20 12:17:08 GMT 2022","Fri May 20 12:17:08 GMT 2022","0","Google Chrome","bottomLeft/noiseSuppVirtualBG.test.js","","","","Verify noise supp",""
"passed","Fri May 20 12:13:56 GMT 2022","Fri May 20 12:15:27 GMT 2022","90430","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop Rtmp Recording",""
"passed","Fri May 20 12:21:58 GMT 2022","Fri May 20 12:22:04 GMT 2022","5939","Google Chrome","previewPage/nameJoin.test.js","","","","Verify Join Button",""
"skipped","Fri May 20 12:16:57 GMT 2022","Fri May 20 12:16:57 GMT 2022","0","Google Chrome","bottomCenter/screenShare.test.js","","","","Screenshare check",""
"passed","Fri May 20 12:20:58 GMT 2022","Fri May 20 12:21:17 GMT 2022","18934","Google Chrome","joinRoom/joinRoom.test.js","","","","Verify Join Mic-Off Cam-On",""
"passed","Fri May 20 12:05:52 GMT 2022","Fri May 20 12:06:49 GMT 2022","56802","Google Chrome","bottomCenter/changeSelfRole.test.js","","","","Change self Role",""
"passed","Fri May 20 12:15:27 GMT 2022","Fri May 20 12:16:57 GMT 2022","90182","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop HLS Recording",""
"passed","Fri May 20 12:22:15 GMT 2022","Fri May 20 12:22:17 GMT 2022","1526","Google Chrome","previewPage/peerList.test.js","","","","Verify room URL",""
"passed","Fri May 20 12:26:00 GMT 2022","Fri May 20 12:26:11 GMT 2022","11039","Google Chrome","topRight/participantList.test.js","","","","Verify Number of participants",""
"passed","Fri May 20 12:23:22 GMT 2022","Fri May 20 12:23:32 GMT 2022","9818","Google Chrome","previewPage/previewTile.test.js","","","","Verify CamBtn on off",""
"skipped","Fri May 20 12:17:08 GMT 2022","Fri May 20 12:17:08 GMT 2022","0","Google Chrome","bottomLeft/noiseSuppVirtualBG.test.js","","","","Verify virtual bg action",""
"passed","Fri May 20 12:22:17 GMT 2022","Fri May 20 12:23:12 GMT 2022","55492","Google Chrome","previewPage/peerList.test.js","","","","Verify Peerlist in Preview Page",""
"passed","Fri May 20 12:23:12 GMT 2022","Fri May 20 12:23:22 GMT 2022","10104","Google Chrome","previewPage/previewTile.test.js","","","","Verify MicBtn on off",""
"passed","Fri May 20 12:07:20 GMT 2022","Fri May 20 12:08:04 GMT 2022","44645","Google Chrome","bottomCenter/muteAll.test.js","","","","Mute All",""
"passed","Fri May 20 12:26:11 GMT 2022","Fri May 20 12:26:53 GMT 2022","42222","Google Chrome","topRight/participantList.test.js","","","","Verify Number of multiple participants",""
"passed","Fri May 20 12:20:22 GMT 2022","Fri May 20 12:20:40 GMT 2022","17354","Google Chrome","joinRoom/joinRoom.test.js","","","","Verify Join Mic-On Cam-On",""
"passed","Fri May 20 12:19:03 GMT 2022","Fri May 20 12:19:13 GMT 2022","9995","Google Chrome","joinRoom/inRoom.test.js","","","","Verify greeting tile for first participant",""
"passed","Fri May 20 12:25:46 GMT 2022","Fri May 20 12:26:00 GMT 2022","14352","Google Chrome","topRight/participantList.test.js","","","","Verify My Name in Participant list",""
"passed","Fri May 20 12:19:23 GMT 2022","Fri May 20 12:19:56 GMT 2022","32769","Google Chrome","joinRoom/inRoom.test.js","","","","Verify Join peers",""
"passed","Fri May 20 12:07:04 GMT 2022","Fri May 20 12:07:20 GMT 2022","15762","Google Chrome","bottomCenter/leaveRoom.test.js","","","","Verify End room for all",""
"passed","Fri May 20 12:05:31 GMT 2022","Fri May 20 12:05:52 GMT 2022","21381","Google Chrome","bottomCenter/changeName.test.js","","","","Change name check",""
"passed","Fri May 20 12:08:04 GMT 2022","Fri May 20 12:11:01 GMT 2022","177124","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop Browser Recording",""
"passed","Fri May 20 12:20:40 GMT 2022","Fri May 20 12:20:58 GMT 2022","18214","Google Chrome","joinRoom/joinRoom.test.js","","","","Verify Join Mic-On Cam-Off",""
"passed","Fri May 20 12:21:55 GMT 2022","Fri May 20 12:21:58 GMT 2022","3659","Google Chrome","previewPage/nameJoin.test.js","","","","Verify Name Field",""
"passed","Fri May 20 12:23:59 GMT 2022","Fri May 20 12:25:46 GMT 2022","106802","Google Chrome","topRight/changePeerRole.test.js","","","","Change peer Role",""
"passed","Fri May 20 12:18:04 GMT 2022","Fri May 20 12:18:27 GMT 2022","22764","Google Chrome","bottomLeft/playlistAudio.test.js","","","","Playlist Audio check TopRight",""
"passed","Fri May 20 12:23:48 GMT 2022","Fri May 20 12:23:59 GMT 2022","10827","Google Chrome","previewPage/settingNetwork.test.js","","","","Verify Preview Settings Btn",""
"passed","Fri May 20 12:22:04 GMT 2022","Fri May 20 12:22:15 GMT 2022","10999","Google Chrome","previewPage/nameJoin.test.js","","","","Verify Join Room",""
"passed","Fri May 20 12:17:08 GMT 2022","Fri May 20 12:18:04 GMT 2022","56038","Google Chrome","bottomLeft/playlistAudio.test.js","","","","Playlist Audio",""
"passed","Fri May 20 12:23:32 GMT 2022","Fri May 20 12:23:42 GMT 2022","9857","Google Chrome","previewPage/previewTile.test.js","","","","Verify video tile and avatar tile",""
"skipped","Fri May 20 12:19:03 GMT 2022","Fri May 20 12:19:03 GMT 2022","0","Google Chrome","bottomLeft/whiteBoard.test.js","","","","white board check",""
"passed","Fri May 20 12:21:35 GMT 2022","Fri May 20 12:21:55 GMT 2022","19401","Google Chrome","joinRoom/joinRoom.test.js","","","","Measure Join Time",""
"skipped","Fri May 20 12:19:03 GMT 2022","Fri May 20 12:19:03 GMT 2022","0","Google Chrome","bottomRight/raisehandBRB.test.js","","","","Verify Raise Hand Brb on Tile",""
"passed","Fri May 20 12:19:56 GMT 2022","Fri May 20 12:20:22 GMT 2022","26186","Google Chrome","joinRoom/inRoom.test.js","","","","Verify network on tile and peerlist",""
