"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 22 12:21:39 GMT 2022","Sun May 22 12:21:59 GMT 2022","19555","Google Chrome","joinRoom/joinRoom.test.js","","","","Verify Join Mic-Off Cam-On",""
"passed","Sun May 22 12:21:02 GMT 2022","Sun May 22 12:21:20 GMT 2022","18461","Google Chrome","joinRoom/joinRoom.test.js","","","","Verify Join Mic-On Cam-On",""
"passed","Sun May 22 12:22:49 GMT 2022","Sun May 22 12:23:01 GMT 2022","11697","Google Chrome","previewPage/nameJoin.test.js","","","","Verify Join Room",""
"passed","Sun May 22 12:05:50 GMT 2022","Sun May 22 12:06:11 GMT 2022","21148","Google Chrome","bottomCenter/changeName.test.js","","","","Change name check",""
"skipped","Sun May 22 12:17:36 GMT 2022","Sun May 22 12:17:36 GMT 2022","0","Google Chrome","bottomLeft/noiseSuppVirtualBG.test.js","","","","Verify noise supp",""
"passed","Sun May 22 12:07:08 GMT 2022","Sun May 22 12:07:24 GMT 2022","15969","Google Chrome","bottomCenter/leaveRoom.test.js","","","","Verify leave room",""
"passed","Sun May 22 12:24:42 GMT 2022","Sun May 22 12:24:54 GMT 2022","11669","Google Chrome","previewPage/settingNetwork.test.js","","","","Verify Preview Settings Btn",""
"skipped","Sun May 22 12:19:34 GMT 2022","Sun May 22 12:19:34 GMT 2022","0","Google Chrome","bottomLeft/whiteBoard.test.js","","","","white board check",""
"passed","Sun May 22 12:21:59 GMT 2022","Sun May 22 12:22:18 GMT 2022","19234","Google Chrome","joinRoom/joinRoom.test.js","","","","Verify Join Mic-Off Cam-Off",""
"passed","Sun May 22 12:19:45 GMT 2022","Sun May 22 12:19:56 GMT 2022","10754","Google Chrome","joinRoom/inRoom.test.js","","","","Verify room URL",""
"passed","Sun May 22 12:19:34 GMT 2022","Sun May 22 12:19:45 GMT 2022","10936","Google Chrome","joinRoom/inRoom.test.js","","","","Verify greeting tile for first participant",""
"passed","Sun May 22 12:22:18 GMT 2022","Sun May 22 12:22:39 GMT 2022","20728","Google Chrome","joinRoom/joinRoom.test.js","","","","Measure Join Time",""
"passed","Sun May 22 12:23:03 GMT 2022","Sun May 22 12:24:03 GMT 2022","59698","Google Chrome","previewPage/peerList.test.js","","","","Verify Peerlist in Preview Page",""
"passed","Sun May 22 12:18:56 GMT 2022","Sun May 22 12:19:34 GMT 2022","38200","Google Chrome","bottomLeft/playlistVideo.test.js","","","","Playlist Video",""
"passed","Sun May 22 12:17:24 GMT 2022","Sun May 22 12:17:36 GMT 2022","12112","Google Chrome","bottomLeft/noiseSuppVirtualBG.test.js","","","","Verify noise supp and virtual bg visibility",""
"passed","Sun May 22 12:23:01 GMT 2022","Sun May 22 12:23:03 GMT 2022","2102","Google Chrome","previewPage/peerList.test.js","","","","Verify room URL",""
"passed","Sun May 22 12:07:24 GMT 2022","Sun May 22 12:07:40 GMT 2022","16847","Google Chrome","bottomCenter/leaveRoom.test.js","","","","Verify End room for all",""
"passed","Sun May 22 12:24:25 GMT 2022","Sun May 22 12:24:35 GMT 2022","10680","Google Chrome","previewPage/previewTile.test.js","","","","Verify video tile and avatar tile",""
"skipped","Sun May 22 12:19:34 GMT 2022","Sun May 22 12:19:34 GMT 2022","0","Google Chrome","bottomRight/raisehandBRB.test.js","","","","Verify Raise Hand Brb on Tile",""
"passed","Sun May 22 12:24:03 GMT 2022","Sun May 22 12:24:14 GMT 2022","10977","Google Chrome","previewPage/previewTile.test.js","","","","Verify MicBtn on off",""
"passed","Sun May 22 12:11:26 GMT 2022","Sun May 22 12:12:54 GMT 2022","88414","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop HLS",""
"passed","Sun May 22 12:12:54 GMT 2022","Sun May 22 12:14:22 GMT 2022","87783","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop Rtmp",""
"passed","Sun May 22 12:07:40 GMT 2022","Sun May 22 12:08:28 GMT 2022","47328","Google Chrome","bottomCenter/muteAll.test.js","","","","Mute All",""
"passed","Sun May 22 12:27:09 GMT 2022","Sun May 22 12:27:56 GMT 2022","47090","Google Chrome","topRight/participantList.test.js","","","","Verify Number of multiple participants",""
"passed","Sun May 22 12:21:20 GMT 2022","Sun May 22 12:21:39 GMT 2022","19087","Google Chrome","joinRoom/joinRoom.test.js","","","","Verify Join Mic-On Cam-Off",""
"passed","Sun May 22 12:24:54 GMT 2022","Sun May 22 12:26:42 GMT 2022","107991","Google Chrome","topRight/changePeerRole.test.js","","","","Change peer Role",""
"skipped","Sun May 22 12:17:36 GMT 2022","Sun May 22 12:17:36 GMT 2022","0","Google Chrome","bottomLeft/noiseSuppVirtualBG.test.js","","","","Verify virtual bg action",""
"skipped","Sun May 22 12:17:24 GMT 2022","Sun May 22 12:17:24 GMT 2022","0","Google Chrome","bottomCenter/screenShare.test.js","","","","Screenshare check",""
"passed","Sun May 22 12:22:39 GMT 2022","Sun May 22 12:22:43 GMT 2022","4290","Google Chrome","previewPage/nameJoin.test.js","","","","Verify Name Field",""
