"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 19 12:28:24 GMT 2022","Thu May 19 12:29:09 GMT 2022","44529","Google Chrome","topRight/participantList.test.js","","","","Verify Number of multiple participants",""
"passed","Thu May 19 12:23:32 GMT 2022","Thu May 19 12:23:36 GMT 2022","4256","Google Chrome","previewPage/nameJoin.test.js","","","","Verify Name Field",""
"skipped","Thu May 19 12:20:31 GMT 2022","Thu May 19 12:20:31 GMT 2022","0","Google Chrome","bottomLeft/whiteBoard.test.js","","","","white board check",""
"passed","Thu May 19 12:08:26 GMT 2022","Thu May 19 12:08:43 GMT 2022","16694","Google Chrome","bottomCenter/leaveRoom.test.js","","","","Verify End room for all",""
"passed","Thu May 19 12:18:35 GMT 2022","Thu May 19 12:19:32 GMT 2022","56525","Google Chrome","bottomLeft/playlistAudio.test.js","","","","Playlist Audio",""
"passed","Thu May 19 12:21:56 GMT 2022","Thu May 19 12:22:15 GMT 2022","18654","Google Chrome","joinRoom/joinRoom.test.js","","","","Verify Join Mic-On Cam-On",""
"skipped","Thu May 19 12:18:35 GMT 2022","Thu May 19 12:18:35 GMT 2022","0","Google Chrome","bottomLeft/noiseSuppVirtualBG.test.js","","","","Verify noise supp",""
"passed","Thu May 19 12:19:54 GMT 2022","Thu May 19 12:20:31 GMT 2022","37102","Google Chrome","bottomLeft/playlistVideo.test.js","","","","Playlist Video",""
"passed","Thu May 19 12:18:24 GMT 2022","Thu May 19 12:18:35 GMT 2022","11861","Google Chrome","bottomLeft/noiseSuppVirtualBG.test.js","","","","Verify noise supp and virtual bg visibility",""
"passed","Thu May 19 12:22:15 GMT 2022","Thu May 19 12:22:34 GMT 2022","19005","Google Chrome","joinRoom/joinRoom.test.js","","","","Verify Join Mic-On Cam-Off",""
"passed","Thu May 19 12:25:16 GMT 2022","Thu May 19 12:25:27 GMT 2022","10552","Google Chrome","previewPage/previewTile.test.js","","","","Verify video tile and avatar tile",""
"passed","Thu May 19 12:25:51 GMT 2022","Thu May 19 12:25:58 GMT 2022","6923","Google Chrome","previewPage/settingNetwork.test.js","","","","Verify Network Btn",""
"passed","Thu May 19 12:09:28 GMT 2022","Thu May 19 12:12:26 GMT 2022","177781","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop Browser Recording",""
"passed","Thu May 19 12:12:26 GMT 2022","Thu May 19 12:13:54 GMT 2022","88192","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop HLS",""
"passed","Thu May 19 12:16:53 GMT 2022","Thu May 19 12:18:24 GMT 2022","90895","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop HLS Recording",""
"passed","Thu May 19 12:21:27 GMT 2022","Thu May 19 12:21:56 GMT 2022","29048","Google Chrome","joinRoom/inRoom.test.js","","","","Verify network on tile and peerlist",""
"passed","Thu May 19 12:25:06 GMT 2022","Thu May 19 12:25:16 GMT 2022","10564","Google Chrome","previewPage/previewTile.test.js","","","","Verify CamBtn on off",""
