"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 23 09:20:45 GMT 2022","Mon May 23 09:21:03 GMT 2022","17711","Google Chrome","joinRoom/joinRoom.test.js","","","","Measure Join Time",""
"skipped","Mon May 23 09:16:09 GMT 2022","Mon May 23 09:16:09 GMT 2022","0","Google Chrome","bottomCenter/screenShare.test.js","","","","Screenshare check",""
"skipped","Mon May 23 09:16:20 GMT 2022","Mon May 23 09:16:20 GMT 2022","0","Google Chrome","bottomLeft/noiseSuppVirtualBG.test.js","","","","Verify virtual bg action",""
"passed","Mon May 23 09:21:03 GMT 2022","Mon May 23 09:21:07 GMT 2022","4454","Google Chrome","previewPage/nameJoin.test.js","","","","Verify Name Field",""
"passed","Mon May 23 09:06:18 GMT 2022","Mon May 23 09:06:34 GMT 2022","15780","Google Chrome","bottomCenter/leaveRoom.test.js","","","","Verify End room for all",""
"passed","Mon May 23 09:18:22 GMT 2022","Mon May 23 09:18:32 GMT 2022","9225","Google Chrome","joinRoom/inRoom.test.js","","","","Verify room URL",""
"passed","Mon May 23 09:05:08 GMT 2022","Mon May 23 09:06:04 GMT 2022","56042","Google Chrome","bottomCenter/changeSelfRole.test.js","","","","Change self Role",""
"passed","Mon May 23 09:14:39 GMT 2022","Mon May 23 09:16:09 GMT 2022","90036","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop HLS Recording",""
"passed","Mon May 23 09:16:20 GMT 2022","Mon May 23 09:17:16 GMT 2022","55593","Google Chrome","bottomLeft/playlistAudio.test.js","","","","Playlist Audio",""
"passed","Mon May 23 09:17:37 GMT 2022","Mon May 23 09:18:12 GMT 2022","35046","Google Chrome","bottomLeft/playlistVideo.test.js","","","","Playlist Video",""
"passed","Mon May 23 09:23:35 GMT 2022","Mon May 23 09:25:23 GMT 2022","108092","Google Chrome","topRight/changePeerRole.test.js","","","","Change peer Role",""
"passed","Mon May 23 09:21:14 GMT 2022","Mon May 23 09:21:24 GMT 2022","10063","Google Chrome","previewPage/nameJoin.test.js","","","","Verify Join Room",""
"passed","Mon May 23 09:25:38 GMT 2022","Mon May 23 09:25:49 GMT 2022","11203","Google Chrome","topRight/participantList.test.js","","","","Verify Number of participants",""
"passed","Mon May 23 09:22:56 GMT 2022","Mon May 23 09:23:03 GMT 2022","6946","Google Chrome","previewPage/settingNetwork.test.js","","","","Verify Network Btn",""
"passed","Mon May 23 09:21:07 GMT 2022","Mon May 23 09:21:14 GMT 2022","6327","Google Chrome","previewPage/nameJoin.test.js","","","","Verify Join Button",""
"passed","Mon May 23 09:16:09 GMT 2022","Mon May 23 09:16:20 GMT 2022","10960","Google Chrome","bottomLeft/noiseSuppVirtualBG.test.js","","","","Verify noise supp and virtual bg visibility",""
"skipped","Mon May 23 09:18:12 GMT 2022","Mon May 23 09:18:12 GMT 2022","0","Google Chrome","bottomLeft/whiteBoard.test.js","","","","white board check",""
"passed","Mon May 23 09:21:26 GMT 2022","Mon May 23 09:22:23 GMT 2022","57627","Google Chrome","previewPage/peerList.test.js","","","","Verify Peerlist in Preview Page",""
"passed","Mon May 23 09:19:05 GMT 2022","Mon May 23 09:19:33 GMT 2022","27411","Google Chrome","joinRoom/inRoom.test.js","","","","Verify network on tile and peerlist",""
"skipped","Mon May 23 09:16:20 GMT 2022","Mon May 23 09:16:20 GMT 2022","0","Google Chrome","bottomLeft/noiseSuppVirtualBG.test.js","","","","Verify noise supp",""
"passed","Mon May 23 09:23:23 GMT 2022","Mon May 23 09:23:35 GMT 2022","12463","Google Chrome","previewPage/settingNetwork.test.js","","","","Verify Preview Settings Btn",""
"passed","Mon May 23 09:25:49 GMT 2022","Mon May 23 09:26:34 GMT 2022","45280","Google Chrome","topRight/participantList.test.js","","","","Verify Number of multiple participants",""
"passed","Mon May 23 09:20:27 GMT 2022","Mon May 23 09:20:45 GMT 2022","18392","Google Chrome","joinRoom/joinRoom.test.js","","","","Verify Join Mic-Off Cam-Off",""
"passed","Mon May 23 09:17:16 GMT 2022","Mon May 23 09:17:37 GMT 2022","21574","Google Chrome","bottomLeft/playlistAudio.test.js","","","","Playlist Audio check TopRight",""
"passed","Mon May 23 09:04:44 GMT 2022","Mon May 23 09:05:08 GMT 2022","23953","Google Chrome","bottomCenter/changeName.test.js","","","","Change name check",""
"passed","Mon May 23 09:19:50 GMT 2022","Mon May 23 09:20:08 GMT 2022","18356","Google Chrome","joinRoom/joinRoom.test.js","","","","Verify Join Mic-On Cam-Off",""
"passed","Mon May 23 09:22:23 GMT 2022","Mon May 23 09:22:34 GMT 2022","10908","Google Chrome","previewPage/previewTile.test.js","","","","Verify MicBtn on off",""
"passed","Mon May 23 09:10:15 GMT 2022","Mon May 23 09:11:42 GMT 2022","86820","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop HLS",""
"passed","Mon May 23 09:20:08 GMT 2022","Mon May 23 09:20:27 GMT 2022","18286","Google Chrome","joinRoom/joinRoom.test.js","","","","Verify Join Mic-Off Cam-On",""
"passed","Mon May 23 09:22:45 GMT 2022","Mon May 23 09:22:56 GMT 2022","10830","Google Chrome","previewPage/previewTile.test.js","","","","Verify video tile and avatar tile",""
"passed","Mon May 23 09:11:42 GMT 2022","Mon May 23 09:13:09 GMT 2022","86910","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop Rtmp",""
"skipped","Mon May 23 09:18:12 GMT 2022","Mon May 23 09:18:12 GMT 2022","0","Google Chrome","bottomRight/raisehandBRB.test.js","","","","Verify Raise Hand Brb icons",""
"passed","Mon May 23 09:07:19 GMT 2022","Mon May 23 09:10:15 GMT 2022","176821","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop Browser Recording",""
"passed","Mon May 23 09:13:09 GMT 2022","Mon May 23 09:14:39 GMT 2022","89869","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop Rtmp Recording",""
"passed","Mon May 23 09:19:33 GMT 2022","Mon May 23 09:19:50 GMT 2022","17285","Google Chrome","joinRoom/joinRoom.test.js","","","","Verify Join Mic-On Cam-On",""
"skipped","Mon May 23 09:18:12 GMT 2022","Mon May 23 09:18:12 GMT 2022","0","Google Chrome","bottomRight/raisehandBRB.test.js","","","","Verify Raise Hand Brb on Tile",""
"passed","Mon May 23 09:21:24 GMT 2022","Mon May 23 09:21:26 GMT 2022","1888","Google Chrome","previewPage/peerList.test.js","","","","Verify room URL",""
"passed","Mon May 23 09:06:04 GMT 2022","Mon May 23 09:06:18 GMT 2022","14550","Google Chrome","bottomCenter/leaveRoom.test.js","","","","Verify leave room",""
"passed","Mon May 23 09:06:34 GMT 2022","Mon May 23 09:07:19 GMT 2022","44694","Google Chrome","bottomCenter/muteAll.test.js","","","","Mute All",""
"passed","Mon May 23 09:18:32 GMT 2022","Mon May 23 09:19:05 GMT 2022","33937","Google Chrome","joinRoom/inRoom.test.js","","","","Verify Join peers",""
"passed","Mon May 23 09:18:12 GMT 2022","Mon May 23 09:18:22 GMT 2022","9996","Google Chrome","joinRoom/inRoom.test.js","","","","Verify greeting tile for first participant",""
"passed","Mon May 23 09:25:23 GMT 2022","Mon May 23 09:25:38 GMT 2022","14276","Google Chrome","topRight/participantList.test.js","","","","Verify My Name in Participant list",""
"passed","Mon May 23 09:22:34 GMT 2022","Mon May 23 09:22:45 GMT 2022","10963","Google Chrome","previewPage/previewTile.test.js","","","","Verify CamBtn on off",""
