"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat May 21 09:19:00 GMT 2022","Sat May 21 09:19:00 GMT 2022","0","Google Chrome","bottomRight/raisehandBRB.test.js","","","","Verify Raise Hand Brb on Tile",""
"skipped","Sat May 21 09:16:08 GMT 2022","Sat May 21 09:16:08 GMT 2022","0","Google Chrome","bottomCenter/screenShare.test.js","","","","Screenshare check",""
"passed","Sat May 21 09:19:20 GMT 2022","Sat May 21 09:19:56 GMT 2022","36767","Google Chrome","joinRoom/inRoom.test.js","","","","Verify Join peers",""
"skipped","Sat May 21 09:19:00 GMT 2022","Sat May 21 09:19:00 GMT 2022","0","Google Chrome","bottomLeft/whiteBoard.test.js","","","","white board check",""
"passed","Sat May 21 09:13:07 GMT 2022","Sat May 21 09:14:38 GMT 2022","90204","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop Rtmp Recording",""
"passed","Sat May 21 09:17:15 GMT 2022","Sat May 21 09:17:37 GMT 2022","21870","Google Chrome","bottomLeft/playlistAudio.test.js","","","","Playlist Audio check TopRight",""
"passed","Sat May 21 09:16:08 GMT 2022","Sat May 21 09:16:19 GMT 2022","11213","Google Chrome","bottomLeft/noiseSuppVirtualBG.test.js","","","","Verify noise supp and virtual bg visibility",""
"passed","Sat May 21 09:22:09 GMT 2022","Sat May 21 09:22:19 GMT 2022","10307","Google Chrome","previewPage/nameJoin.test.js","","","","Verify Join Room",""
"passed","Sat May 21 09:21:03 GMT 2022","Sat May 21 09:21:21 GMT 2022","18529","Google Chrome","joinRoom/joinRoom.test.js","","","","Verify Join Mic-Off Cam-On",""
"passed","Sat May 21 09:26:43 GMT 2022","Sat May 21 09:26:55 GMT 2022","11481","Google Chrome","topRight/participantList.test.js","","","","Verify Number of participants",""
"passed","Sat May 21 09:23:53 GMT 2022","Sat May 21 09:24:01 GMT 2022","7091","Google Chrome","previewPage/settingNetwork.test.js","","","","Verify Network Btn",""
"passed","Sat May 21 09:10:13 GMT 2022","Sat May 21 09:11:40 GMT 2022","87161","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop HLS",""
"passed","Sat May 21 09:24:39 GMT 2022","Sat May 21 09:26:29 GMT 2022","109545","Google Chrome","topRight/changePeerRole.test.js","","","","Change peer Role",""
"passed","Sat May 21 09:16:19 GMT 2022","Sat May 21 09:17:15 GMT 2022","56170","Google Chrome","bottomLeft/playlistAudio.test.js","","","","Playlist Audio",""
"passed","Sat May 21 09:19:56 GMT 2022","Sat May 21 09:20:26 GMT 2022","29993","Google Chrome","joinRoom/inRoom.test.js","","","","Verify network on tile and peerlist",""
"skipped","Sat May 21 09:16:19 GMT 2022","Sat May 21 09:16:19 GMT 2022","0","Google Chrome","bottomLeft/noiseSuppVirtualBG.test.js","","","","Verify virtual bg action",""
"passed","Sat May 21 09:22:02 GMT 2022","Sat May 21 09:22:09 GMT 2022","6791","Google Chrome","previewPage/nameJoin.test.js","","","","Verify Join Button",""
"passed","Sat May 21 09:21:57 GMT 2022","Sat May 21 09:22:02 GMT 2022","4448","Google Chrome","previewPage/nameJoin.test.js","","","","Verify Name Field",""
"passed","Sat May 21 09:06:12 GMT 2022","Sat May 21 09:06:27 GMT 2022","15884","Google Chrome","bottomCenter/leaveRoom.test.js","","","","Verify End room for all",""
"skipped","Sat May 21 09:19:00 GMT 2022","Sat May 21 09:19:00 GMT 2022","0","Google Chrome","bottomRight/raisehandBRB.test.js","","","","Verify Raise Hand Brb icons",""
"passed","Sat May 21 09:07:16 GMT 2022","Sat May 21 09:10:13 GMT 2022","177222","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop Browser Recording",""
"passed","Sat May 21 09:23:42 GMT 2022","Sat May 21 09:23:53 GMT 2022","10952","Google Chrome","previewPage/previewTile.test.js","","","","Verify video tile and avatar tile",""
"skipped","Sat May 21 09:16:19 GMT 2022","Sat May 21 09:16:19 GMT 2022","0","Google Chrome","bottomLeft/noiseSuppVirtualBG.test.js","","","","Verify noise supp",""
"passed","Sat May 21 09:26:55 GMT 2022","Sat May 21 09:27:43 GMT 2022","47699","Google Chrome","topRight/participantList.test.js","","","","Verify Number of multiple participants",""
"passed","Sat May 21 09:14:38 GMT 2022","Sat May 21 09:16:08 GMT 2022","90294","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop HLS Recording",""
"passed","Sat May 21 09:06:27 GMT 2022","Sat May 21 09:07:16 GMT 2022","48166","Google Chrome","bottomCenter/muteAll.test.js","","","","Mute All",""
"passed","Sat May 21 09:20:26 GMT 2022","Sat May 21 09:20:44 GMT 2022","17669","Google Chrome","joinRoom/joinRoom.test.js","","","","Verify Join Mic-On Cam-On",""
"passed","Sat May 21 09:21:21 GMT 2022","Sat May 21 09:21:40 GMT 2022","18547","Google Chrome","joinRoom/joinRoom.test.js","","","","Verify Join Mic-Off Cam-Off",""
"passed","Sat May 21 09:26:29 GMT 2022","Sat May 21 09:26:43 GMT 2022","14477","Google Chrome","topRight/participantList.test.js","","","","Verify My Name in Participant list",""
"passed","Sat May 21 09:20:44 GMT 2022","Sat May 21 09:21:03 GMT 2022","18523","Google Chrome","joinRoom/joinRoom.test.js","","","","Verify Join Mic-On Cam-Off",""
"passed","Sat May 21 09:19:10 GMT 2022","Sat May 21 09:19:20 GMT 2022","9541","Google Chrome","joinRoom/inRoom.test.js","","","","Verify room URL",""
"passed","Sat May 21 09:05:01 GMT 2022","Sat May 21 09:05:57 GMT 2022","56136","Google Chrome","bottomCenter/changeSelfRole.test.js","","","","Change self Role",""
"passed","Sat May 21 09:23:20 GMT 2022","Sat May 21 09:23:31 GMT 2022","11063","Google Chrome","previewPage/previewTile.test.js","","","","Verify MicBtn on off",""
"passed","Sat May 21 09:21:40 GMT 2022","Sat May 21 09:21:57 GMT 2022","17563","Google Chrome","joinRoom/joinRoom.test.js","","","","Measure Join Time",""
"passed","Sat May 21 09:23:31 GMT 2022","Sat May 21 09:23:42 GMT 2022","11076","Google Chrome","previewPage/previewTile.test.js","","","","Verify CamBtn on off",""
"passed","Sat May 21 09:22:19 GMT 2022","Sat May 21 09:22:21 GMT 2022","1921","Google Chrome","previewPage/peerList.test.js","","","","Verify room URL",""
"passed","Sat May 21 09:18:22 GMT 2022","Sat May 21 09:19:00 GMT 2022","38166","Google Chrome","bottomLeft/playlistVideo.test.js","","","","Playlist Video",""
"passed","Sat May 21 09:11:40 GMT 2022","Sat May 21 09:13:07 GMT 2022","87270","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop Rtmp",""
"passed","Sat May 21 09:24:27 GMT 2022","Sat May 21 09:24:39 GMT 2022","12610","Google Chrome","previewPage/settingNetwork.test.js","","","","Verify Preview Settings Btn",""
"passed","Sat May 21 09:04:36 GMT 2022","Sat May 21 09:05:01 GMT 2022","25122","Google Chrome","bottomCenter/changeName.test.js","","","","Change name check",""
"passed","Sat May 21 09:19:00 GMT 2022","Sat May 21 09:19:10 GMT 2022","10393","Google Chrome","joinRoom/inRoom.test.js","","","","Verify greeting tile for first participant",""
"passed","Sat May 21 09:22:21 GMT 2022","Sat May 21 09:23:20 GMT 2022","59565","Google Chrome","previewPage/peerList.test.js","","","","Verify Peerlist in Preview Page",""
"passed","Sat May 21 09:05:57 GMT 2022","Sat May 21 09:06:12 GMT 2022","14547","Google Chrome","bottomCenter/leaveRoom.test.js","","","","Verify leave room",""
