"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat May 21 01:46:30 GMT 2022","Sat May 21 01:46:30 GMT 2022","0","Google Chrome","bottomRight/raisehandBRB.test.js","","","","Verify Raise Hand Brb on Tile",""
"failed","Sat May 21 01:49:06 GMT 2022","Sat May 21 01:49:51 GMT 2022","45128","Google Chrome","joinRoom/inRoom.test.js","","","","Verify Join peers",""
"passed","Sat May 21 01:32:13 GMT 2022","Sat May 21 01:32:30 GMT 2022","16862","Google Chrome","bottomCenter/leaveRoom.test.js","","","","Verify End room for all",""
"passed","Sat May 21 01:36:59 GMT 2022","Sat May 21 01:38:28 GMT 2022","88599","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop Browser Recording",""
"passed","Sat May 21 01:41:23 GMT 2022","Sat May 21 01:42:54 GMT 2022","90708","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop Rtmp Recording",""
"passed","Sat May 21 01:45:54 GMT 2022","Sat May 21 01:46:30 GMT 2022","35842","Google Chrome","bottomLeft/playlistVideo.test.js","","","","Playlist Video",""
"failed","Sat May 21 01:58:12 GMT 2022","Sat May 21 01:58:35 GMT 2022","22896","Google Chrome","topRight/changePeerRole.test.js","","","","Change peer Role",""
"failed","Sat May 21 01:29:39 GMT 2022","Sat May 21 01:30:15 GMT 2022","36162","Google Chrome","bottomCenter/changeName.test.js","","","","Change name check",""
"passed","Sat May 21 01:52:56 GMT 2022","Sat May 21 01:52:59 GMT 2022","2257","Google Chrome","previewPage/peerList.test.js","","","","Verify room URL",""
"passed","Sat May 21 01:52:34 GMT 2022","Sat May 21 01:52:39 GMT 2022","4788","Google Chrome","previewPage/nameJoin.test.js","","","","Verify Name Field",""
"skipped","Sat May 21 01:46:30 GMT 2022","Sat May 21 01:46:30 GMT 2022","0","Google Chrome","bottomRight/raisehandBRB.test.js","","","","Verify Raise Hand Brb icons",""
"passed","Sat May 21 01:45:32 GMT 2022","Sat May 21 01:45:54 GMT 2022","22263","Google Chrome","bottomLeft/playlistAudio.test.js","","","","Playlist Audio check TopRight",""
"failed","Sat May 21 01:55:19 GMT 2022","Sat May 21 01:56:24 GMT 2022","65179","Google Chrome","previewPage/peerList.test.js","","","","Verify Peerlist in Preview Page",""
"passed","Sat May 21 01:51:19 GMT 2022","Sat May 21 01:51:37 GMT 2022","18829","Google Chrome","joinRoom/joinRoom.test.js","","","","Verify Join Mic-On Cam-Off",""
"passed","Sat May 21 02:00:36 GMT 2022","Sat May 21 02:00:49 GMT 2022","13239","Google Chrome","topRight/participantList.test.js","","","","Verify Number of participants",""
"passed","Sat May 21 01:46:30 GMT 2022","Sat May 21 01:46:41 GMT 2022","10549","Google Chrome","joinRoom/inRoom.test.js","","","","Verify greeting tile for first participant",""
"failed","Sat May 21 01:59:42 GMT 2022","Sat May 21 02:00:14 GMT 2022","31572","Google Chrome","topRight/participantList.test.js","","","","Verify My Name in Participant list",""
"passed","Sat May 21 02:00:49 GMT 2022","Sat May 21 02:01:46 GMT 2022","57104","Google Chrome","topRight/participantList.test.js","","","","Verify Number of multiple participants",""
"passed","Sat May 21 01:44:36 GMT 2022","Sat May 21 01:45:32 GMT 2022","56546","Google Chrome","bottomLeft/playlistAudio.test.js","","","","Playlist Audio",""
"failed","Sat May 21 01:31:24 GMT 2022","Sat May 21 01:31:57 GMT 2022","32729","Google Chrome","bottomCenter/changeSelfRole.test.js","","","","Change self Role",""
"passed","Sat May 21 01:52:15 GMT 2022","Sat May 21 01:52:34 GMT 2022","18564","Google Chrome","joinRoom/joinRoom.test.js","","","","Measure Join Time",""
"skipped","Sat May 21 01:46:30 GMT 2022","Sat May 21 01:46:30 GMT 2022","0","Google Chrome","bottomLeft/whiteBoard.test.js","","","","white board check",""
"passed","Sat May 21 01:57:06 GMT 2022","Sat May 21 01:57:18 GMT 2022","12262","Google Chrome","previewPage/settingNetwork.test.js","","","","Verify Preview Settings Btn",""
"skipped","Sat May 21 01:44:24 GMT 2022","Sat May 21 01:44:24 GMT 2022","0","Google Chrome","bottomCenter/screenShare.test.js","","","","Screenshare check",""
"passed","Sat May 21 01:52:45 GMT 2022","Sat May 21 01:52:56 GMT 2022","10938","Google Chrome","previewPage/nameJoin.test.js","","","","Verify Join Room",""
"failed","Sat May 21 01:35:51 GMT 2022","Sat May 21 01:36:59 GMT 2022","67679","Google Chrome","bottomCenter/muteAll.test.js","","","","Mute All",""
"passed","Sat May 21 01:31:57 GMT 2022","Sat May 21 01:32:13 GMT 2022","15763","Google Chrome","bottomCenter/leaveRoom.test.js","","","","Verify leave room",""
"passed","Sat May 21 01:42:54 GMT 2022","Sat May 21 01:44:24 GMT 2022","90397","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop HLS Recording",""
"passed","Sat May 21 01:52:39 GMT 2022","Sat May 21 01:52:45 GMT 2022","6619","Google Chrome","previewPage/nameJoin.test.js","","","","Verify Join Button",""
"passed","Sat May 21 01:56:47 GMT 2022","Sat May 21 01:56:58 GMT 2022","11410","Google Chrome","previewPage/previewTile.test.js","","","","Verify video tile and avatar tile",""
"passed","Sat May 21 01:51:37 GMT 2022","Sat May 21 01:51:56 GMT 2022","18763","Google Chrome","joinRoom/joinRoom.test.js","","","","Verify Join Mic-Off Cam-On",""
"passed","Sat May 21 01:56:58 GMT 2022","Sat May 21 01:57:06 GMT 2022","7244","Google Chrome","previewPage/settingNetwork.test.js","","","","Verify Network Btn",""
"failed","Sat May 21 01:50:39 GMT 2022","Sat May 21 01:51:00 GMT 2022","21300","Google Chrome","joinRoom/inRoom.test.js","","","","Verify network on tile and peerlist",""
"passed","Sat May 21 01:38:28 GMT 2022","Sat May 21 01:39:56 GMT 2022","88157","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop HLS",""
"passed","Sat May 21 01:44:24 GMT 2022","Sat May 21 01:44:36 GMT 2022","11305","Google Chrome","bottomLeft/noiseSuppVirtualBG.test.js","","","","Verify noise supp and virtual bg visibility",""
"passed","Sat May 21 01:56:36 GMT 2022","Sat May 21 01:56:47 GMT 2022","11161","Google Chrome","previewPage/previewTile.test.js","","","","Verify CamBtn on off",""
"passed","Sat May 21 01:39:56 GMT 2022","Sat May 21 01:41:23 GMT 2022","87418","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop Rtmp",""
"passed","Sat May 21 01:56:24 GMT 2022","Sat May 21 01:56:36 GMT 2022","11425","Google Chrome","previewPage/previewTile.test.js","","","","Verify MicBtn on off",""
"skipped","Sat May 21 01:44:36 GMT 2022","Sat May 21 01:44:36 GMT 2022","0","Google Chrome","bottomLeft/noiseSuppVirtualBG.test.js","","","","Verify virtual bg action",""
"passed","Sat May 21 01:51:56 GMT 2022","Sat May 21 01:52:15 GMT 2022","19104","Google Chrome","joinRoom/joinRoom.test.js","","","","Verify Join Mic-Off Cam-Off",""
"passed","Sat May 21 01:51:01 GMT 2022","Sat May 21 01:51:19 GMT 2022","17906","Google Chrome","joinRoom/joinRoom.test.js","","","","Verify Join Mic-On Cam-On",""
"skipped","Sat May 21 01:44:36 GMT 2022","Sat May 21 01:44:36 GMT 2022","0","Google Chrome","bottomLeft/noiseSuppVirtualBG.test.js","","","","Verify noise supp",""
"passed","Sat May 21 01:46:41 GMT 2022","Sat May 21 01:46:51 GMT 2022","9945","Google Chrome","joinRoom/inRoom.test.js","","","","Verify room URL",""
