"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 24 01:41:14 GMT 2022","Tue May 24 01:42:44 GMT 2022","89834","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop Rtmp Recording",""
"passed","Tue May 24 01:51:14 GMT 2022","Tue May 24 01:51:33 GMT 2022","18324","Google Chrome","joinRoom/joinRoom.test.js","","","","Verify Join Mic-On Cam-Off",""
"passed","Tue May 24 01:46:25 GMT 2022","Tue May 24 01:47:03 GMT 2022","37728","Google Chrome","bottomLeft/playlistVideo.test.js","","","","Playlist Video",""
"passed","Tue May 24 01:51:51 GMT 2022","Tue May 24 01:52:09 GMT 2022","18266","Google Chrome","joinRoom/joinRoom.test.js","","","","Verify Join Mic-Off Cam-Off",""
"skipped","Tue May 24 01:47:03 GMT 2022","Tue May 24 01:47:03 GMT 2022","0","Google Chrome","bottomLeft/whiteBoard.test.js","","","","white board check",""
"passed","Tue May 24 01:52:31 GMT 2022","Tue May 24 01:52:40 GMT 2022","8496","Google Chrome","previewPage/nameJoin.test.js","","","","Verify Join Button",""
"passed","Tue May 24 01:33:42 GMT 2022","Tue May 24 01:33:58 GMT 2022","15560","Google Chrome","bottomCenter/leaveRoom.test.js","","","","Verify End room for all",""
"failed","Tue May 24 01:57:45 GMT 2022","Tue May 24 01:58:07 GMT 2022","21888","Google Chrome","topRight/changePeerRole.test.js","","","","Change peer Role",""
"passed","Tue May 24 01:47:15 GMT 2022","Tue May 24 01:47:26 GMT 2022","10900","Google Chrome","joinRoom/inRoom.test.js","","","","Verify greeting tile for first participant",""
"passed","Tue May 24 01:52:27 GMT 2022","Tue May 24 01:52:31 GMT 2022","4471","Google Chrome","previewPage/nameJoin.test.js","","","","Verify Name Field",""
"skipped","Tue May 24 01:47:03 GMT 2022","Tue May 24 01:47:03 GMT 2022","0","Google Chrome","bottomRight/raisehandBRB.test.js","","","","Verify Raise Hand Brb icons",""
"failed","Tue May 24 01:50:36 GMT 2022","Tue May 24 01:50:57 GMT 2022","20735","Google Chrome","joinRoom/inRoom.test.js","","","","Verify network on tile and peerlist",""
"failed","Tue May 24 01:55:05 GMT 2022","Tue May 24 01:56:06 GMT 2022","61591","Google Chrome","previewPage/peerList.test.js","","","","Verify Peerlist in Preview Page",""
"failed","Tue May 24 01:32:55 GMT 2022","Tue May 24 01:33:27 GMT 2022","32381","Google Chrome","bottomCenter/changeSelfRole.test.js","","","","Change self Role",""
"passed","Tue May 24 02:00:21 GMT 2022","Tue May 24 02:01:05 GMT 2022","44899","Google Chrome","topRight/participantList.test.js","","","","Verify Number of multiple participants",""
"passed","Tue May 24 01:42:44 GMT 2022","Tue May 24 01:44:14 GMT 2022","89876","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop HLS Recording",""
"failed","Tue May 24 01:59:15 GMT 2022","Tue May 24 01:59:46 GMT 2022","31152","Google Chrome","topRight/participantList.test.js","","","","Verify My Name in Participant list",""
"passed","Tue May 24 01:56:48 GMT 2022","Tue May 24 01:57:00 GMT 2022","11772","Google Chrome","previewPage/settingNetwork.test.js","","","","Verify Preview Settings Btn",""
"passed","Tue May 24 01:45:21 GMT 2022","Tue May 24 01:45:42 GMT 2022","21453","Google Chrome","bottomLeft/playlistAudio.test.js","","","","Playlist Audio check TopRight",""
"passed","Tue May 24 01:39:47 GMT 2022","Tue May 24 01:41:14 GMT 2022","87769","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop Rtmp",""
"passed","Tue May 24 01:56:41 GMT 2022","Tue May 24 01:56:48 GMT 2022","7079","Google Chrome","previewPage/settingNetwork.test.js","","","","Verify Network Btn",""
"passed","Tue May 24 01:52:09 GMT 2022","Tue May 24 01:52:27 GMT 2022","17270","Google Chrome","joinRoom/joinRoom.test.js","","","","Measure Join Time",""
"skipped","Tue May 24 01:44:25 GMT 2022","Tue May 24 01:44:25 GMT 2022","0","Google Chrome","bottomLeft/noiseSuppVirtualBG.test.js","","","","Verify noise supp",""
