"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 23 01:54:41 GMT 2022","Mon May 23 01:54:51 GMT 2022","10295","Google Chrome","previewPage/previewTile.test.js","","","","Verify CamBtn on off",""
"passed","Mon May 23 01:55:08 GMT 2022","Mon May 23 01:55:19 GMT 2022","11215","Google Chrome","previewPage/settingNetwork.test.js","","","","Verify Preview Settings Btn",""
"skipped","Mon May 23 01:43:39 GMT 2022","Mon May 23 01:43:39 GMT 2022","0","Google Chrome","bottomLeft/noiseSuppVirtualBG.test.js","","","","Verify noise supp",""
"passed","Mon May 23 01:49:19 GMT 2022","Mon May 23 01:49:36 GMT 2022","17195","Google Chrome","joinRoom/joinRoom.test.js","","","","Verify Join Mic-On Cam-On",""
"failed","Mon May 23 01:30:15 GMT 2022","Mon May 23 01:30:50 GMT 2022","34827","Google Chrome","bottomCenter/changeName.test.js","","","","Change name check",""
"passed","Mon May 23 01:50:12 GMT 2022","Mon May 23 01:50:29 GMT 2022","17796","Google Chrome","joinRoom/joinRoom.test.js","","","","Verify Join Mic-Off Cam-Off",""
"passed","Mon May 23 01:50:29 GMT 2022","Mon May 23 01:50:46 GMT 2022","16487","Google Chrome","joinRoom/joinRoom.test.js","","","","Measure Join Time",""
"passed","Mon May 23 01:44:56 GMT 2022","Mon May 23 01:45:31 GMT 2022","34874","Google Chrome","bottomLeft/playlistVideo.test.js","","","","Playlist Video",""
"passed","Mon May 23 01:37:37 GMT 2022","Mon May 23 01:39:03 GMT 2022","86519","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop HLS",""
"passed","Mon May 23 01:43:29 GMT 2022","Mon May 23 01:43:39 GMT 2022","10419","Google Chrome","bottomLeft/noiseSuppVirtualBG.test.js","","","","Verify noise supp and virtual bg visibility",""
"passed","Mon May 23 01:45:40 GMT 2022","Mon May 23 01:45:49 GMT 2022","8715","Google Chrome","joinRoom/inRoom.test.js","","","","Verify room URL",""
"passed","Mon May 23 01:51:05 GMT 2022","Mon May 23 01:51:07 GMT 2022","1642","Google Chrome","previewPage/peerList.test.js","","","","Verify room URL",""
"passed","Mon May 23 01:49:54 GMT 2022","Mon May 23 01:50:12 GMT 2022","17887","Google Chrome","joinRoom/joinRoom.test.js","","","","Verify Join Mic-Off Cam-On",""
"failed","Mon May 23 01:56:04 GMT 2022","Mon May 23 01:56:25 GMT 2022","21145","Google Chrome","topRight/changePeerRole.test.js","","","","Change peer Role",""
"passed","Mon May 23 01:32:28 GMT 2022","Mon May 23 01:32:42 GMT 2022","14256","Google Chrome","bottomCenter/leaveRoom.test.js","","","","Verify leave room",""
"passed","Mon May 23 01:32:42 GMT 2022","Mon May 23 01:32:57 GMT 2022","14749","Google Chrome","bottomCenter/leaveRoom.test.js","","","","Verify End room for all",""
"passed","Mon May 23 01:50:56 GMT 2022","Mon May 23 01:51:05 GMT 2022","9658","Google Chrome","previewPage/nameJoin.test.js","","","","Verify Join Room",""
"passed","Mon May 23 01:54:51 GMT 2022","Mon May 23 01:55:02 GMT 2022","10260","Google Chrome","previewPage/previewTile.test.js","","","","Verify video tile and avatar tile",""
"passed","Mon May 23 01:55:02 GMT 2022","Mon May 23 01:55:08 GMT 2022","6459","Google Chrome","previewPage/settingNetwork.test.js","","","","Verify Network Btn",""
"skipped","Mon May 23 01:43:39 GMT 2022","Mon May 23 01:43:39 GMT 2022","0","Google Chrome","bottomLeft/noiseSuppVirtualBG.test.js","","","","Verify virtual bg action",""
"passed","Mon May 23 01:44:35 GMT 2022","Mon May 23 01:44:56 GMT 2022","21286","Google Chrome","bottomLeft/playlistAudio.test.js","","","","Playlist Audio check TopRight",""
"passed","Mon May 23 01:41:59 GMT 2022","Mon May 23 01:43:29 GMT 2022","89527","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop HLS Recording",""
"passed","Mon May 23 01:45:31 GMT 2022","Mon May 23 01:45:40 GMT 2022","9642","Google Chrome","joinRoom/inRoom.test.js","","","","Verify greeting tile for first participant",""
"passed","Mon May 23 01:50:46 GMT 2022","Mon May 23 01:50:50 GMT 2022","3894","Google Chrome","previewPage/nameJoin.test.js","","","","Verify Name Field",""
"passed","Mon May 23 01:58:35 GMT 2022","Mon May 23 01:59:20 GMT 2022","45402","Google Chrome","topRight/participantList.test.js","","","","Verify Number of multiple participants",""
"failed","Mon May 23 01:31:56 GMT 2022","Mon May 23 01:32:28 GMT 2022","31659","Google Chrome","bottomCenter/changeSelfRole.test.js","","","","Change self Role",""
"failed","Mon May 23 01:57:31 GMT 2022","Mon May 23 01:58:01 GMT 2022","30690","Google Chrome","topRight/participantList.test.js","","","","Verify My Name in Participant list",""
"passed","Mon May 23 01:50:50 GMT 2022","Mon May 23 01:50:56 GMT 2022","6092","Google Chrome","previewPage/nameJoin.test.js","","","","Verify Join Button",""
"failed","Mon May 23 01:48:58 GMT 2022","Mon May 23 01:49:18 GMT 2022","20061","Google Chrome","joinRoom/inRoom.test.js","","","","Verify network on tile and peerlist",""
"skipped","Mon May 23 01:43:29 GMT 2022","Mon May 23 01:43:29 GMT 2022","0","Google Chrome","bottomCenter/screenShare.test.js","","","","Screenshare check",""
"skipped","Mon May 23 01:45:31 GMT 2022","Mon May 23 01:45:31 GMT 2022","0","Google Chrome","bottomRight/raisehandBRB.test.js","","","","Verify Raise Hand Brb on Tile",""
"passed","Mon May 23 01:40:30 GMT 2022","Mon May 23 01:41:59 GMT 2022","89519","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop Rtmp Recording",""
"passed","Mon May 23 01:36:10 GMT 2022","Mon May 23 01:37:37 GMT 2022","86860","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop Browser Recording",""
"failed","Mon May 23 01:53:28 GMT 2022","Mon May 23 01:54:30 GMT 2022","61920","Google Chrome","previewPage/peerList.test.js","","","","Verify Peerlist in Preview Page",""
"failed","Mon May 23 01:35:17 GMT 2022","Mon May 23 01:36:10 GMT 2022","52417","Google Chrome","bottomCenter/muteAll.test.js","","","","Mute All",""
"skipped","Mon May 23 01:45:31 GMT 2022","Mon May 23 01:45:31 GMT 2022","0","Google Chrome","bottomRight/raisehandBRB.test.js","","","","Verify Raise Hand Brb icons",""
"passed","Mon May 23 01:54:30 GMT 2022","Mon May 23 01:54:41 GMT 2022","10511","Google Chrome","previewPage/previewTile.test.js","","","","Verify MicBtn on off",""
"skipped","Mon May 23 01:45:31 GMT 2022","Mon May 23 01:45:31 GMT 2022","0","Google Chrome","bottomLeft/whiteBoard.test.js","","","","white board check",""
"passed","Mon May 23 01:49:36 GMT 2022","Mon May 23 01:49:54 GMT 2022","17925","Google Chrome","joinRoom/joinRoom.test.js","","","","Verify Join Mic-On Cam-Off",""
"passed","Mon May 23 01:43:39 GMT 2022","Mon May 23 01:44:35 GMT 2022","55402","Google Chrome","bottomLeft/playlistAudio.test.js","","","","Playlist Audio",""
"failed","Mon May 23 01:47:34 GMT 2022","Mon May 23 01:48:14 GMT 2022","39088","Google Chrome","joinRoom/inRoom.test.js","","","","Verify Join peers",""
"passed","Mon May 23 01:39:03 GMT 2022","Mon May 23 01:40:30 GMT 2022","86356","Google Chrome","bottomCenter/rtmpHls.test.js","","","","Start and Stop Rtmp",""
"passed","Mon May 23 01:58:23 GMT 2022","Mon May 23 01:58:35 GMT 2022","11417","Google Chrome","topRight/participantList.test.js","","","","Verify Number of participants",""
